Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Role played by Owner or Manager in Facility,Owner Type,Owner Name,Ownership Percentage,Association Date,Location,Processing Date
106134,LAKES OF CLERMONT HEALTH AND REHABILITATION CENTER,1775 HOOKS STREET,CLERMONT,FL,34711,OFFICER,Individual,"PRICE, JACQUELINE",NOT APPLICABLE,since 06/27/2018,"1775 HOOKS STREET,CLERMONT,FL,34711",44228
106134,LAKES OF CLERMONT HEALTH AND REHABILITATION CENTER,1775 HOOKS STREET,CLERMONT,FL,34711,OFFICER,Individual,"ROSENBERG, MORDECAI",NOT APPLICABLE,since 03/24/2016,"1775 HOOKS STREET,CLERMONT,FL,34711",44228
106134,LAKES OF CLERMONT HEALTH AND REHABILITATION CENTER,1775 HOOKS STREET,CLERMONT,FL,34711,OFFICER,Individual,"SCHWARTZ, LISA",NOT APPLICABLE,since 03/24/2016,"1775 HOOKS STREET,CLERMONT,FL,34711",44228
106134,LAKES OF CLERMONT HEALTH AND REHABILITATION CENTER,1775 HOOKS STREET,CLERMONT,FL,34711,MANAGING EMPLOYEE,Individual,"ROBINSON, SEAN",NOT APPLICABLE,since 09/01/2020,"1775 HOOKS STREET,CLERMONT,FL,34711",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"DOLPHIN POINTE MEDICAL INVESTORS, LLC I",0.2,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"DOLPHIN POINTE MEDICAL INVESTORS, LLC II",0.2,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"DOLPHIN POINTE MEDICAL INVESTORS, LLC III",0.2,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"OLT II, INC",0.4,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"CLEVELAND, JEFFREY",0.2,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"FRASER, GEOFFERY",0.2,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"NELSON, GREGORY",0.4,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Individual,"NELSON, SEAN",0.2,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,OPERATIONAL/MANAGERIAL CONTROL,Organization,CLEAR CHOICE HEALTH CARE LLC,NOT APPLICABLE,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,OPERATIONAL/MANAGERIAL CONTROL,Individual,"CLEVELAND, JEFFREY",NOT APPLICABLE,since 07/16/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,OPERATIONAL/MANAGERIAL CONTROL,Individual,"FRASER, GEOFFERY",NOT APPLICABLE,since 07/16/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,DIRECTOR,Individual,"FRASER, GEOFFERY",NOT APPLICABLE,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,DIRECTOR,Individual,"NELSON, DENISE",NOT APPLICABLE,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,DIRECTOR,Individual,"NELSON, GREGORY",NOT APPLICABLE,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,OFFICER,Individual,"FRASER, GEOFFERY",NOT APPLICABLE,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,OFFICER,Individual,"NELSON, DENISE",NOT APPLICABLE,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,OFFICER,Individual,"NELSON, GREGORY",NOT APPLICABLE,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,MANAGING EMPLOYEE,Individual,"NELSON, SEAN",NOT APPLICABLE,since 07/15/2016,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106135,DOLPHIN POINTE HEALTH CARE CENTER,5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211,5% OR GREATER MORTGAGE INTEREST,Organization,FIFTH THIRD BANK,NOT APPLICABLE,since 02/24/2017,"5355 DOLPHIN POINT BLVD,JACKSONVILLE,FL,32211",44228
106136,DE LUNA HEALTH AND REHABILITATION CENTER,9310 FOWLER AVE,PENSACOLA,FL,32514,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,GULF COAST FACILITIES LLC,NO PERCENTAGE PROVIDED,since 12/05/2019,"9310 FOWLER AVE,PENSACOLA,FL,32514",44228
106136,DE LUNA HEALTH AND REHABILITATION CENTER,9310 FOWLER AVE,PENSACOLA,FL,32514,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"BARROW STREET REAL ESTATE FUND III, LP",NO PERCENTAGE PROVIDED,since 12/05/2019,"9310 FOWLER AVE,PENSACOLA,FL,32514",44228
106136,DE LUNA HEALTH AND REHABILITATION CENTER,9310 FOWLER AVE,PENSACOLA,FL,32514,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,BSREF III PARALLEL INVESTOR  II LP,NO PERCENTAGE PROVIDED,since 12/05/2019,"9310 FOWLER AVE,PENSACOLA,FL,32514",44228
106136,DE LUNA HEALTH AND REHABILITATION CENTER,9310 FOWLER AVE,PENSACOLA,FL,32514,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,BSREF III PARALLEL INVESTOR I LLC,NO PERCENTAGE PROVIDED,since 12/05/2019,"9310 FOWLER AVE,PENSACOLA,FL,32514",44228
106136,DE LUNA HEALTH AND REHABILITATION CENTER,9310 FOWLER AVE,PENSACOLA,FL,32514,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,BSREF III PARALLEL INVESTOR III LP,NO PERCENTAGE PROVIDED,since 12/05/2019,"9310 FOWLER AVE,PENSACOLA,FL,32514",44228
106136,DE LUNA HEALTH AND REHABILITATION CENTER,9310 FOWLER AVE,PENSACOLA,FL,32514,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GCH MANAGEMENT SERVICES LLC,NO PERCENTAGE PROVIDED,since 12/05/2019,"9310 FOWLER AVE,PENSACOLA,FL,32514",44228
106136,DE LUNA HEALTH AND REHABILITATION CENTER,9310 FOWLER AVE,PENSACOLA,FL,32514,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GULF COAST HEALTH CARE HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 12/05/2019,"9310 FOWLER AVE,PENSACOLA,FL,32514",44228
106136,DE LUNA HEALTH AND REHABILITATION CENTER,9310 FOWLER AVE,PENSACOLA,FL,32514,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,HS DELTA GST TRUST #2,NO PERCENTAGE PROVIDED,since 12/05/2019,"9310 FOWLER AVE,PENSACOLA,FL,32514",44228
106136,DE LUNA HEALTH AND REHABILITATION CENTER,9310 FOWLER AVE,PENSACOLA,FL,32514,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,JS DELTA GST TRUST,NO PERCENTAGE PROVIDED,since 12/05/2019,"9310 FOWLER AVE,PENSACOLA,FL,32514",44228
106136,DE LUNA HEALTH AND REHABILITATION CENTER,9310 FOWLER AVE,PENSACOLA,FL,32514,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,SOUTHEAST US HOLDINGS LLC,NO PERCENTAGE PROVIDED,since 12/05/2019,"9310 FOWLER AVE,PENSACOLA,FL,32514",44228
106136,DE LUNA HEALTH AND REHABILITATION CENTER,9310 FOWLER AVE,PENSACOLA,FL,32514,OFFICER,Individual,"BARNETT, BRETT",NOT APPLICABLE,since 12/05/2019,"9310 FOWLER AVE,PENSACOLA,FL,32514",44228
106136,DE LUNA HEALTH AND REHABILITATION CENTER,9310 FOWLER AVE,PENSACOLA,FL,32514,OFFICER,Individual,"WOLF, SHERYL",NOT APPLICABLE,since 12/05/2019,"9310 FOWLER AVE,PENSACOLA,FL,32514",44228
106136,DE LUNA HEALTH AND REHABILITATION CENTER,9310 FOWLER AVE,PENSACOLA,FL,32514,MANAGING EMPLOYEE,Individual,"REID, MARY",NOT APPLICABLE,since 12/02/2019,"9310 FOWLER AVE,PENSACOLA,FL,32514",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"VOA LEE COUNTY HEALTH CARE FACILITY, INC.",1,since 10/13/2015,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,OPERATIONAL/MANAGERIAL CONTROL,Individual,"AHMADI, KEVIN",NOT APPLICABLE,since 10/13/2015,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,DIRECTOR,Individual,"BLOOM, SHAWN",NOT APPLICABLE,since 07/01/2017,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,DIRECTOR,Individual,"DALE, KAREN",NOT APPLICABLE,since 07/01/2015,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,DIRECTOR,Individual,"DOLAN, THOMAS",NOT APPLICABLE,since 07/01/2017,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,DIRECTOR,Individual,"EDEBURN, ANDREW",NOT APPLICABLE,since 12/10/2015,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,DIRECTOR,Individual,"KIKUMOTO, CHARLES",NOT APPLICABLE,since 07/01/2014,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,DIRECTOR,Individual,"KNAPP, KEITH",NOT APPLICABLE,since 07/01/2016,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,DIRECTOR,Individual,"LEBLANC, JAMES",NOT APPLICABLE,since 08/31/2015,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,DIRECTOR,Individual,"PERKINS, DERRICK",NOT APPLICABLE,since 07/01/2019,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,DIRECTOR,Individual,"PETERSON, JEANNE",NOT APPLICABLE,since 07/01/2017,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,DIRECTOR,Individual,"RASE, NANCY",NOT APPLICABLE,since 07/01/2016,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,DIRECTOR,Individual,"WAKEFIELD, STEPHEN",NOT APPLICABLE,since 07/01/2013,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,OFFICER,Individual,"ARNOLD, PATTI",NOT APPLICABLE,since 07/01/2016,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,OFFICER,Individual,"BUDZYNSKI, JOSEPH",NOT APPLICABLE,since 04/02/2012,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,OFFICER,Individual,"BURKS, JANE",NOT APPLICABLE,since 08/31/2015,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,OFFICER,Individual,"CARRINGTON, EDWINA",NOT APPLICABLE,since 07/01/2015,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,OFFICER,Individual,"GAVIN, NANCY",NOT APPLICABLE,since 11/11/2011,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,OFFICER,Individual,"KING, MICHAEL",NOT APPLICABLE,since 07/01/2010,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,OFFICER,Individual,"NUTZ, FAITH",NOT APPLICABLE,since 09/01/2018,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,OFFICER,Individual,"WILSON-GENO, SHARON",NOT APPLICABLE,since 07/01/2016,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106137,THE PRESERVE,14750 HOPE CENTER LOOP,FORT MYERS,FL,33912,MANAGING EMPLOYEE,Individual,"SWANSON, JULIA",NOT APPLICABLE,since 11/26/2018,"14750 HOPE CENTER LOOP,FORT MYERS,FL,33912",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,ALPHA HEALTH CARE PROPERTIES LLC,1,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"ALG LAVIE, LLC",NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"BENCON HOLDCO, LLC",NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,COLUMBIA PACIFIC OPPORTUNITY FUND,NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"FC INVESTORS XXI, LLC",NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,FLORIDA HEALTH CARE PROPERTIES LLC,NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,GENOA HEALTHCARE GROUP LLC,NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"LAVIE CARE CENTERS, LLC",NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"LV INVESTMENT, LLC",NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"LV OPERATIONS I, LLC",NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"LV OPERATIONS II, LLC",NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"MCP LAVIE, LLC",NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SALCON HOLDCO, LLC",NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SAY LA VIE, LLC",NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"SENIOR CARE LAVIE, LLC",NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,"TRECON HOLDCO, LLC",NO PERCENTAGE PROVIDED,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,OPERATIONAL/MANAGERIAL CONTROL,Organization,"CMC II, LLC",NOT APPLICABLE,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,OPERATIONAL/MANAGERIAL CONTROL,Individual,"BRYSON, CHRISTOPHER",NOT APPLICABLE,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,OPERATIONAL/MANAGERIAL CONTROL,Individual,"DIAS, DANIEL",NOT APPLICABLE,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,OPERATIONAL/MANAGERIAL CONTROL,Individual,"HAYES, GREGORY",NOT APPLICABLE,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,OPERATIONAL/MANAGERIAL CONTROL,Individual,"USSERY, KENNETH",NOT APPLICABLE,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,OFFICER,Individual,"BRYSON, CHRISTOPHER",NOT APPLICABLE,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,OFFICER,Individual,"DIAS, DANIEL",NOT APPLICABLE,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,OFFICER,Individual,"HAYES, GREGORY",NOT APPLICABLE,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,OFFICER,Individual,"USSERY, KENNETH",NOT APPLICABLE,since 05/07/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106138,SWAN CENTER AT OAKBRIDGE (THE),3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803,MANAGING EMPLOYEE,Individual,"PALMER, DEVON",NOT APPLICABLE,since 06/01/2020,"3110 OAKBRIDGE BLVD E,LAKELAND,FL,33803",44228
106139,CHATHAM GLEN HEALTHCARE AND REHABILITATION CENTER,16605 SE 74TH SOULLIERE AVENUE,THE VILLAGES,FL,32162,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"THE VILLAGES INVESCO, LLC",0.9,since 08/08/2017,"16605 SE 74TH SOULLIERE AVENUE,THE VILLAGES,FL,32162",44228
106139,CHATHAM GLEN HEALTHCARE AND REHABILITATION CENTER,16605 SE 74TH SOULLIERE AVENUE,THE VILLAGES,FL,32162,OPERATIONAL/MANAGERIAL CONTROL,Organization,"KR MANAGEMENT, LLC",NOT APPLICABLE,since 01/01/2020,"16605 SE 74TH SOULLIERE AVENUE,THE VILLAGES,FL,32162",44228
106139,CHATHAM GLEN HEALTHCARE AND REHABILITATION CENTER,16605 SE 74TH SOULLIERE AVENUE,THE VILLAGES,FL,32162,OPERATIONAL/MANAGERIAL CONTROL,Individual,"ROCKEFELLER, KEVIN",NOT APPLICABLE,since 11/15/2017,"16605 SE 74TH SOULLIERE AVENUE,THE VILLAGES,FL,32162",44228
106139,CHATHAM GLEN HEALTHCARE AND REHABILITATION CENTER,16605 SE 74TH SOULLIERE AVENUE,THE VILLAGES,FL,32162,DIRECTOR,Individual,"ROCKEFELLER, KEVIN",NOT APPLICABLE,since 11/15/2017,"16605 SE 74TH SOULLIERE AVENUE,THE VILLAGES,FL,32162",44228
106140,PRUITTHEALTH - SOUTHWOOD,2301 BLUFF OAK WAY,TALLAHASSEE,FL,32311,5% OR GREATER DIRECT OWNERSHIP INTEREST,Organization,"PRUITTHEALTH-NORTH CENTRAL FLORIDA,LLC",0.99,since 10/16/2014,"2301 BLUFF OAK WAY,TALLAHASSEE,FL,32311",44228
106140,PRUITTHEALTH - SOUTHWOOD,2301 BLUFF OAK WAY,TALLAHASSEE,FL,32311,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,J PAIGE PRUITT TRUST,NO PERCENTAGE PROVIDED,since 10/16/2014,"2301 BLUFF OAK WAY,TALLAHASSEE,FL,32311",44228
106140,PRUITTHEALTH - SOUTHWOOD,2301 BLUFF OAK WAY,TALLAHASSEE,FL,32311,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,LISA P HAMBY TRUST,NO PERCENTAGE PROVIDED,since 10/16/2014,"2301 BLUFF OAK WAY,TALLAHASSEE,FL,32311",44228
106140,PRUITTHEALTH - SOUTHWOOD,2301 BLUFF OAK WAY,TALLAHASSEE,FL,32311,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,NEIL L PRUITT JR TRUST,NO PERCENTAGE PROVIDED,since 10/16/2014,"2301 BLUFF OAK WAY,TALLAHASSEE,FL,32311",44228
106140,PRUITTHEALTH - SOUTHWOOD,2301 BLUFF OAK WAY,TALLAHASSEE,FL,32311,5% OR GREATER INDIRECT OWNERSHIP INTEREST,Organization,UHS- PRUITT HOLDINGS INC,NO PERCENTAGE PROVIDED,since 10/16/2014,"2301 BLUFF OAK WAY,TALLAHASSEE,FL,32311",44228
